,Manufacturer,Model,Trans,Eng Size,Cyl,MPG Comb,MPG City,MPG Hwy,Annual Fuel Cost,GHG Rating,Notes,Year
102,PORSCHE,911 Carrera S,AM-S8,3.0L,6cyl,20,18,23,"$3,050",4,"['PR', 'T', 'SS']",2023
103,PORSCHE,911 Carrera S,M-7,3.0L,6cyl,21,18,25,"$2,900",4,"['PR', 'T', 'SS']",2023
104,PORSCHE,911 Carrera S Cabriolet,AM-S8,3.0L,6cyl,20,18,23,"$3,050",4,"['PR', 'T', 'SS']",2023
105,PORSCHE,911 Carrera S Cabriolet,M-7,3.0L,6cyl,20,17,25,"$3,050",4,"['PR', 'T', 'SS']",2023
106,PORSCHE,911 Carrera T,AM-S8,3.0L,6cyl,20,18,24,"$3,050",4,"['PR', 'T', 'SS']",2023
107,PORSCHE,911 Carrera T,M-7,3.0L,6cyl,20,17,25,"$3,050",4,"['PR', 'T', 'SS']",2023
108,PORSCHE,911 Dakar,AM-S8,3.0L,6cyl,19,16,24,"$3,200",4,"['PR', 'T', 'SS']",2023
109,PORSCHE,911 Sport Classic,M-7,3.7L,6cyl,17,15,21,"$3,600",3,"['PR', 'T', 'Tax', 'SS']",2023
110,PORSCHE,911 Targa 4,AM-S8,3.0L,6cyl,20,18,24,"$3,050",4,"['PR', 'T', 'SS']",2023
111,PORSCHE,911 Targa 4 GTS,AM-S8,3.0L,6cyl,19,17,22,"$3,200",4,"['PR', 'T', 'SS']",2023
112,PORSCHE,911 Targa 4 GTS,M-7,3.0L,6cyl,19,16,23,"$3,200",4,"['PR', 'T', 'SS']",2023
113,PORSCHE,911 Targa 4S,AM-S8,3.0L,6cyl,20,18,23,"$3,050",4,"['PR', 'T', 'SS']",2023
114,PORSCHE,911 Targa 4S,M-7,3.0L,6cyl,20,17,24,"$3,050",4,"['PR', 'T', 'SS']",2023
115,PORSCHE,911 Turbo,AM-S8,3.7L,6cyl,17,15,20,"$3,600",3,"['PR', 'T', 'Tax', 'SS']",2023
116,PORSCHE,911 Turbo Cabriolet,AM-S8,3.7L,6cyl,17,15,20,"$3,600",3,"['PR', 'T', 'Tax', 'SS']",2023
117,PORSCHE,911 Turbo S,AM-S8,3.7L,6cyl,17,15,20,"$3,600",3,"['PR', 'T', 'SS']",2023
118,PORSCHE,911 Turbo S Cabriolet,AM-S8,3.7L,6cyl,17,15,20,"$3,600",3,"['PR', 'T', 'Tax', 'SS']",2023
119,SUBARU,BRZ,A-S6,2.4L,4cyl,25,21,30,"$2,450",5,['PR'],2023
120,SUBARU,BRZ,M-6,2.4L,4cyl,22,20,27,"$2,800",5,['PR'],2023
121,TOYOTA,GR 86,A-S6,2.4L,4cyl,25,21,31,"$2,450",5,['PR'],2023
122,TOYOTA,GR 86,M-6,2.4L,4cyl,22,20,27,"$2,800",5,['PR'],2023
123,AUDI,A3,AM-S7,2.0L,4cyl,32,28,38,"$1,500",6,"['P', 'T', 'MHEV', 'SS']",2023
124,AUDI,A3 quattro,AM-S7,2.0L,4cyl,30,27,35,"$1,600",6,"['P', 'T', 'MHEV', 'SS']",2023
125,AUDI,A5 Cabriolet quattro,AM-S7,2.0L,4cyl,26,24,31,"$2,350",5,"['P', 'T', 'MHEV', 'SS']",2023
126,AUDI,A5 Coupe quattro,AM-S7,2.0L,4cyl,27,24,32,"$2,250",5,"['P', 'T', 'MHEV', 'SS']",2023
127,AUDI,RS 5 Coupe,A-S8,2.9L,6cyl,21,18,26,"$2,900",4,"['P', 'T']",2023
128,AUDI,RS3,AM-S7,2.5L,5cyl,23,20,29,"$2,650",5,"['P', 'T']",2023
129,AUDI,S3,AM-S7,2.0L,4cyl,26,23,32,"$2,350",5,"['P', 'T', 'SS']",2023
130,AUDI,S5 Cabriolet,A-S8,3.0L,6cyl,23,21,28,"$2,650",5,"['P', 'T', 'SS']",2023
131,AUDI,S5 Coupe,A-S8,3.0L,6cyl,24,21,30,"$2,550",5,"['P', 'T', 'SS']",2023
132,AUDI,TT Coupe,AM-S7,2.0L,4cyl,25,23,30,"$1,900",5,"['T', 'SS']",2023
133,AUDI,TTS Coupe,AM-S7,2.0L,4cyl,26,23,31,"$2,350",5,"['P', 'T', 'SS']",2023
134,BENTLEY,Continental GT,AM-S8,4.0L,8cyl,18,15,23,"$3,400",4,"['PR', 'T', 'CD', 'SS']",2023
